"filename", "language", "JavaScript", "CSS", "XML", "JavaScript JSX", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/context/reducers/alertReducer.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/context/reducers/index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/context/reducers/productReducer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/context/reducers/userReducer.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/index.css", "CSS", 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/index.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/utils/styles.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/jinyizhou/myGithubRepo/Menumind-Final/client/tailwind.config.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 1, 2, 64
"/Users/jinyizhou/myGithubRepo/Menumind-Final/server/firebase.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"/Users/jinyizhou/myGithubRepo/Menumind-Final/server/functions/.eslintrc.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 9, 0, 29
"/Users/jinyizhou/myGithubRepo/Menumind-Final/server/functions/index.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 4, 10, 40
"/Users/jinyizhou/myGithubRepo/Menumind-Final/server/functions/package-lock.json", "JSON", 0, 0, 0, 0, 7016, 0, 0, 0, 1, 7017
"/Users/jinyizhou/myGithubRepo/Menumind-Final/server/functions/package.json", "JSON", 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"/Users/jinyizhou/myGithubRepo/Menumind-Final/server/functions/routes/products.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 2, 5, 59
"/Users/jinyizhou/myGithubRepo/Menumind-Final/server/functions/routes/user.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 1, 4, 33
"Total", "-", 532, 171, 1, 1091, 7146, 39, 24, 360, 246, 9610
